model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,4096,,,2.50976037979126,2.524080753326416,0.2969180150003012,0.207025435000105,367.1047039698464,526.5053542814422,4.01,7.83,48.786717752235,1.4342103181676715,-0.014320373535155806
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,4,256,,,2.452564477920532,2.475974798202514,0.1211288900003637,0.1015025010001409,3599.4716041622332,4295.460660613621,0.701690673828125,1.66,57.72947748023343,1.1933586739916444,-0.023410320281982422
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,4,512,,,2.499480724334717,2.502814292907715,0.1675856559995736,0.1243345889997726,2601.6546428120864,3506.666998358736,1.17,3.06,61.76470588235294,1.3478602965412956,-0.003333568572998047
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,4,1024,,,2.5113041400909424,2.4921164512634277,0.2630696570004147,0.1785654949999298,1657.355717004309,2441.68113218162,2.13,6.1,65.08196721311475,1.4732390319894564,0.01918768882751465
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,4,2048,,,2.4108684062957764,2.4220163822174072,0.4836742890001915,0.3040646539993759,901.433071626074,1433.9055666789045,5.12,13.01,60.6456571867794,1.5906955400386138,-0.01114797592163086
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,4,4096,,,2.4449751377105713,,1.0063969550001275,,433.2286557841829,,14.11,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,8,256,,,2.3975250720977783,2.402928113937378,0.169946568999876,0.1253883319996021,5201.634873844642,7050.097771480087,1.1,2.98,63.08724832214765,1.3553619087971864,-0.005403041839599609
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,8,512,,,2.4039149284362793,2.3980553150177,0.2594201029996839,0.174611649000326,3407.6002197912826,5062.663373612316,2.09,5.83,64.15094339622642,1.4856975722118033,0.0058596134185791016
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,8,1024,,,2.3621180057525635,2.3715412616729736,0.46107016499991,0.2848468920001323,1917.278685772636,3103.4216093872255,3.96,11.84,66.55405405405406,1.6186596306611478,-0.009423255920410156
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,8,2048,,,2.395507335662842,,0.9088429000003088,,972.6653528345764,,9.82,,,,
